2018 rank, City, State, 2018 Estimate, 2010 Census, Change(%), 2016 land area(sq mi), 2016 land area(sq km), 2016 population density(sq mi), 2016 population density(sq km), location, Male(%), Female(%), Median Age (yrs), Median Household income ($), Median Household value ($) 
109,Fayetteville, North Carolina,209468,200564,+4.44,147.7,382.5,1386,535,35.0828°N 78.9735°W,49.2,50.8,30.7,42918,130900
110,Moreno Valley, California,209050,193365,+8.11,51.3,132.9,4006,1547,33.9233°N 117.2057°W,48.0,52.0,29.7,64008,290800
111,Rochester, New York,206284,210565,-2.03,35.8,92.7,5835,2253,43.1699°N 77.6169°W,48.4,51.6,31.5,31693,84600
112,Glendale, California,201361,191719,+5.03,30.4,78.7,6606,2551,34.1814°N 118.2458°W,48.3,51.7,41.6,64611,717600
113,Huntington Beach, California,200641,189992,+5.60,26.9,69.7,7459,2880,33.6906°N 118.0093°W,50.7,49.3,43.9,86112,724800
114,Salt Lake City,Utah,200591,186440,+7.59,111.2,288.0,1742,673,40.7769°N 111.9310°W,51.7,48.3,32.7,56994,285100
115,Grand Rapids, Michigan,200217,188040,+6.48,44.4,115.0,4424,1708,42.9612°N 85.6556°W,50.7,49.3,31.1,45795,134500
116,Amarillo, Texas,199924,190695,+4.84,101.4,262.6,1968,760,35.1999°N 101.8302°W,48.8,51.2,34.0,51466,126800
117,Yonkers, New York,199663,195976,+1.88,18.0,46.6,11156,4307,40.9459°N 73.8674°W,47.6,52.4,39.5,62049,402500
118,Aurora, Illinois,199602,197899,+0.86,44.9,116.3,4479,1729,41.7635°N 88.2901°W,49.3,50.7,33.5,66540,176200
119,Montgomery, Alabama,198218,205764,-3.67,159.8,413.9,1252,483,32.3472°N 86.2661°W,47.0,53.0,35.5,41625,117200
120,Akron, Ohio,198006,199110,-0.55,62.0,160.6,3188,1231,41.0805°N 81.5214°W,47.2,52.8,36.6,35184,78000
121,Little Rock,Arkansas,197881,193524,+2.25,118.7,307.4,1673,646,34.7254°N 92.3586°W,48.3,51.7,36.8,45605,161000
122,Huntsville, Alabama,197318,180105,+9.56,213.4,552.7,905,349,34.6990°N 86.6730°W,49.2,50.8,35.6,51895,182200
123,Augusta, Georgia,196939,195844,+0.56,302.5,783.5,652,252,33.3655°N 82.0734°W,47.1,52.9,34.3,38238,97735
124,Port St. Lucie, Florida,195248,164603,+18.62,118.9,307.9,1557,601,27.2806°N 80.3883°W,48.2,51.8,41.9,51447,177200
125,Grand Prairie, Texas,194614,175396,+10.96,72.3,187.3,2637,1018,32.6869°N 97.0211°W,49.7,50.3,33.3,62391,149600
126,Columbus, Georgia,194160,189885,+2.25,216.4,560.5,913,353,32.5102°N 84.8749°W,48.6,51.4,32.6,40123,150581
127,Tallahassee, Florida,193551,181376,+6.71,100.4,260.0,1901,734,30.4551°N 84.2534°W,46.9,53.1,26.8,43663,196700
128,Overland Park, Kansas,192536,173372,+11.05,75.1,194.5,2516,971,38.8890°N 94.6906°W,48.1,51.9,38.1,78602,264900
129,Tempe, Arizona,192364,161719,+18.95,40.0,103.6,4562,1761,33.3884°N 111.9318°W,51.6,48.4,29.8,56365,252400
130,McKinney, Texas,191645,131117,+46.16,63.0,163.2,2735,1056,33.1985°N 96.6680°W,49.7,50.3,35.6,87356,278900
131,Mobile, Alabama,189572,195111,-2.84,139.4,361.0,1384,534,30.6684°N 88.1002°W,48.1,51.9,36.9,39463,125100
132,Cape Coral, Florida,189343,154305,+22.71,105.6,273.5,1703,658,26.6432°N 81.9974°W,49.1,50.9,46.7,57006,212600
133,Shreveport, Louisiana,188987,199311,-5.18,107.1,277.4,1820,700,32.4669°N 93.7922°W,46.6,53.4,35.6,34647,150000
134,Frisco, Texas,188170,116989,+60.84,67.7,175.3,2417,933,33.1554°N 96.8226°W,48.7,51.3,37.4,124829,369900
135,Knoxville, Tennessee,187500,178874,+4.82,98.5,255.1,1891,730,35.9707°N 83.9493°W,48.1,51.9,32.4,35816,128000
136,Worcester, Massachusetts,185877,181045,+2.67,37.4,96.9,4933,1905,42.2695°N 71.8078°W,49.5,50.5,34.9,44020,216000
137,Brownsville, Texas,183392,175023,+4.78,132.5,343.2,1387,536,25.9991°N 97.4550°W,48.0,52.0,32.0,36584,86600
138,Vancouver, Washington,183012,161791,+13.12,46.9,121.5,3728,1439,45.6349°N 122.5957°W,47.7,52.3,36.3,56615,265700
139,Fort Lauderdale, Florida,182595,165521,+10.32,34.6,89.6,5166,1995,26.1412°N 80.1467°W,52.5,47.5,40.1,52813,325300
140,Sioux Falls,South Dakota,181883,153888,+18.19,75.4,195.3,2312,893,43.5383°N 96.7320°W,49.9,50.1,34.4,56867,173400
141,Ontario, California,181107,163924,+10.48,49.9,129.2,3471,1340,34.0394°N 117.6042°W,47.8,52.2,33.5,55982,347100
142,Chattanooga, Tennessee,180557,167674,+7.68,143.1,370.6,1241,479,35.0660°N 85.2484°W,47.0,53.0,36.7,41226,164400
143,Providence,Rhode Island,179335,178042,+0.73,18.4,47.7,9740,3760,41.8231°N 71.4188°W,48.1,51.9,29.5,40335,179400
144,Newport News, Virginia,178626,180719,-1.16,69.1,179.0,2631,1016,37.0762°N 76.5220°W,48.8,51.2,33.4,50524,185000
145,Rancho Cucamonga, California,177751,165269,+7.55,40.0,103.6,4413,1704,34.1233°N 117.5642°W,49.8,50.2,36.0,81286,469900
146,Santa Rosa, California,177586,167815,+5.82,41.3,107.0,4241,1637,38.4468°N 122.7061°W,48.2,51.8,39.9,71854,484400
147,Oceanside, California,176080,167086,+5.38,41.3,107.0,4249,1641,33.2245°N 117.3062°W,48.5,51.5,37.6,60487,461200
148,Salem, Oregon,173442,154637,+12.16,48.6,125.9,3445,1330,44.9237°N 123.0232°W,47.8,52.2,35.9,51945,221000
149,Elk Grove, California,172886,153015,+12.99,42.2,109.3,4022,1553,38.4146°N 121.3850°W,47.1,52.9,36.5,91899,374300
150,Garden Grove, California,172646,170883,+1.03,18.0,46.6,9714,3751,33.7788°N 117.9605°W,50.9,49.1,36.3,63566,532700
151,Pembroke Pines, Florida,172374,154019,+11.92,33.0,85.5,5109,1973,26.0210°N 80.3404°W,46.4,53.6,40.6,62812,266900
152,Peoria, Arizona,172259,154065,+11.81,175.7,455.1,934,361,33.7862°N 112.3080°W,48.9,51.1,41.6,68882,248700
153,Eugene, Oregon,171245,156185,+9.64,44.1,114.2,3777,1458,44.0567°N 123.1162°W,49.6,50.4,34.3,46189,267300
154,Corona, California,168819,152374,+10.79,39.5,102.3,4222,1630,33.8620°N 117.5655°W,50.1,49.9,36.0,71584,442600
155,Cary, North Carolina,168160,135234,+24.35,56.5,146.3,2873,1109,35.7809°N 78.8133°W,49.7,50.3,40.5,100167,332800
156,Springfield, Missouri,168122,159498,+5.41,82.3,213.2,2033,785,37.1942°N 93.2913°W,47.5,52.5,32.5,33286,115900
157,Fort Collins, Colorado,167830,143986,+16.56,55.8,144.5,2943,1136,40.5482°N 105.0648°W,49.5,50.5,29.0,59357,338100
158,Jackson,Mississippi,164422,173514,-5.24,111.0,287.5,1524,588,32.3158°N 90.2128°W,45.9,54.1,33.0,39724,88500
159,Alexandria, Virginia,160530,139966,+14.69,15.0,38.8,10387,4010,38.8201°N 77.0841°W,47.9,52.1,36.6,87920,578500
160,Hayward, California,159620,144186,+10.70,45.5,117.8,3493,1349,37.6287°N 122.1024°W,49.4,50.6,35.1,75352,515600
161,Lancaster, California,159053,156633,+1.55,94.3,244.2,1698,656,34.6936°N 118.1753°W,49.0,51.0,33.6,46910,239000
162,Lakewood, Colorado,156798,142980,+9.66,42.9,111.1,3599,1390,39.6989°N 105.1176°W,48.6,51.4,38.7,59144,332700
163,Clarksville, Tennessee,156794,132929,+17.95,98.3,254.6,1529,590,36.5664°N 87.3452°W,48.7,51.3,29.8,51696,150100
164,Palmdale, California,156667,152750,+2.56,106.0,274.5,1484,573,34.5910°N 118.1054°W,48.9,51.1,31.2,52423,257500
165,Salinas, California,156259,150441,+3.87,23.6,61.1,6662,2572,36.6902°N 121.6337°W,49.4,50.6,30.7,58089,397300
166,Springfield, Massachusetts,155032,153060,+1.29,31.9,82.6,4830,1860,42.1155°N 72.5400°W,47.1,52.9,33.9,38897,154300
167,Hollywood, Florida,154823,140768,+9.98,27.3,70.7,5568,2150,26.0310°N 80.1646°W,48.9,51.1,43.6,52682,235500
168,Pasadena, Texas,153219,149043,+2.80,43.5,112.7,3525,1361,29.6586°N 95.1506°W,47.3,52.7,30.2,50043,115700
169,Sunnyvale, California,153185,140081,+9.35,22.0,57.0,6944,2681,37.3858°N 122.0263°W,51.3,48.7,35.8,121546,over 1000000
170,Macon, Georgia,153095,91351,+67.59,249.3,645.7,612,236,32.8088°N 83.6942°W,44.8,55.2,33.3,29145,92914
171,Kansas City, Kansas,152958,145786,+4.92,124.8,323.2,1216,470,39.1225°N 94.7418°W,49.9,50.1,33.5,42141,89600
172,Pomona, California,152361,149058,+2.22,23.0,59.6,6630,2560,34.0585°N 117.7611°W,50.8,49.2,30.2,53972,359700
173,Escondido, California,152213,143911,+5.77,37.1,96.1,4087,1578,33.1331°N 117.0740°W,50.5,49.5,33.7,60328,450300
174,Killeen, Texas,149103,127921,+16.56,53.5,138.6,2680,1030,31.0777°N 97.7320°W,48.8,51.2,27.8,47556,119900
175,Naperville, Illinois,148304,141853,+4.55,38.7,100.2,3802,1468,41.7492°N 88.1620°W,49.3,50.7,37.7,116482,421400
176,Joliet, Illinois,148099,147433,+0.45,64.4,166.8,2302,889,41.5177°N 88.1488°W,48.8,51.2,34.0,63864,174700
177,Bellevue, Washington,147599,122363,+20.62,33.5,86.8,4221,1630,47.5979°N 122.1565°W,49.6,50.4,39.1,113877,756800
178,Rockford, Illinois,146526,152871,-4.15,63.5,164.5,2325,898,42.2588°N 89.0646°W,48.9,51.1,37.5,39537,89200
179,Savannah, Georgia,145862,136286,+7.03,103.6,268.3,1417,547,32.0025°N 81.1536°W,48.6,51.4,32.8,38879,146400
180,Paterson, New Jersey,145627,146199,-0.39,8.4,21.8,17500,6800,40.9148°N 74.1628°W,48.4,51.6,35.0,36146,223600
181,Torrance, California,145182,145438,-0.18,20.5,53.1,7180,2770,33.8350°N 118.3414°W,48.1,51.9,40.2,85710,698800
182,Bridgeport,Connecticut,144900,144229,+0.47,16.1,41.7,9064,3500,41.1874°N 73.1958°W,48.8,51.2,34.0,42113,177400
183,McAllen, Texas,143433,129877,+10.44,58.4,151.3,2435,940,26.2322°N 98.2464°W,49.6,50.4,32.6,43062,118100
184,Mesquite, Texas,142816,139824,+2.14,47.2,122.2,3045,1176,32.7629°N 96.5888°W,46.4,53.6,32.8,55416,122700
185,Syracuse, New York,142749,145170,-1.67,25.0,64.7,5735,2214,43.0410°N 76.1436°W,47.5,52.5,32.2,33695,92900
186,Midland, Texas,142344,111147,+28.07,74.4,192.7,1809,698,32.0246°N 102.1135°W,49.3,50.7,32.0,64616,196100
187,Pasadena, California,141371,137122,+3.10,23.0,59.6,6176,2385,34.1606°N 118.1396°W,47.5,52.5,38.9,76263,708200
188,Murfreesboro, Tennessee,141344,108755,+29.97,55.9,144.8,2360,910,35.8522°N 86.4160°W,49.5,50.5,30.3,54654,211000
189,Miramar, Florida,140823,122041,+15.39,29.4,76.1,4709,1818,25.9770°N 80.3358°W,48.4,51.6,38.5,61767,275800
190,Dayton, Ohio,140640,141527,-0.63,55.7,144.3,2522,974,39.7774°N 84.1996°W,48.9,51.1,33.8,28894,66900
191,Fullerton, California,139640,135161,+3.31,22.4,58.0,6282,2425,33.8857°N 117.9280°W,50.0,50.0,35.5,72656,607700
192,Olathe, Kansas,139605,125872,+10.91,60.9,157.7,2225,859,38.8843°N 94.8195°W,49.8,50.2,35.0,82242,217300
193,Orange, California,139484,136416,+2.25,25.4,65.8,5532,2136,33.7870°N 117.8613°W,50.0,50.0,35.7,84141,637500
194,Thornton, Colorado,139436,118772,+17.40,35.7,92.5,3829,1478,39.9194°N 104.9428°W,50.2,49.8,33.9,75289,284300
195,Roseville, California,139117,118788,+17.11,43.0,111.4,3085,1191,38.7690°N 121.3189°W,47.2,52.8,40.4,86275,414200
196,Denton, Texas,138541,113383,+22.19,93.4,241.9,1433,553,33.2166°N 97.1414°W,47.0,53.0,28.1,54528,194200
197,Waco, Texas,138183,124805,+10.72,89.0,230.5,1510,580,31.5601°N 97.1860°W,48.5,51.5,28.6,37722,113300
198,Surprise, Arizona,138161,117517,+17.57,107.9,279.5,1230,470,33.6706°N 112.4527°W,48.0,52.0,40.9,60521,225700
199,Carrollton, Texas,136879,119097,+14.93,36.3,94.0,3674,1419,32.9884°N 96.8998°W,47.6,52.4,36.2,70673,209800
